Zipcode,White_Pop %,Population
12849,77.66233766,385
12850,95.34391534,2835
12851,93.16939891,366
12852,77.52293578,436
12853,98.1920904,1770
12855,93.05019305,259
12856,155.6149733,187
12857,136.3453815,498
12858,172.8813559,59
12859,109.2342342,2220
12860,64.17112299,748
12861,86.37110016,609
12862,0,17
12863,165.1031895,533
12864,36.11111111,36
12865,92.001092,3663
12866,96.55424624,36915
12870,114.3803844,1509
12871,102.8158668,4084
12872,293.5483871,31
12873,117.1195652,736
12874,121.8309859,142
12878,91.09874826,719
12883,94.3880597,5025
12884,119.1358025,486
12885,94.26336375,4602
12886,97.0260223,269
12887,96.15848753,4972
12901,92.24259099,33439
12903,100.4108463,1217
12910,83.19366853,2148
12911,0,36
12912,95.24524525,1998
12913,91.5298185,1157
12914,80.17241379,1044
12916,104.3091335,2135
12917,91.16179615,1403
12918,107.349853,2381
12919,91.6694106,3037
12920,81.77339901,2842
12921,113.9004149,2410
12922,47.69230769,65
12923,87.5,632
12924,37.34177215,158
12926,104.4836957,2208
12927,123.2142857,224
12928,98.76725838,2028
12929,40.85830371,3938
12930,125.3943218,634
12932,93.60841424,1236
12933,329.4117647,17
12934,97.95158287,1074
12935,81.35011442,1748
12936,69.78297162,599
12937,94.46564885,1572
12939,75.6097561,205
12941,96.63865546,1428
12942,98.45201238,646
12943,68.40958606,459
12944,87.94117647,4080
12945,70.37617555,638
12946,85.68827385,5492
12950,68.67599569,929
12952,50,546
12953,77.6521849,15836
12955,96.06299213,381
12956,83.08181096,1259
12957,89.68713789,1726
12958,103.5251426,1929
12959,107.669832,1369
12960,54.00696864,1148
12961,88.33333333,180
12962,89.54355337,5499
12964,36.64596273,161
12965,101.9379845,516
12966,91.32075472,2915
12967,83.0744072,1223
12969,78.48699764,423
12970,78.5046729,963
12972,100.8170962,6364
12973,55.61497326,187
12974,133.3333333,1599
12975,73.20754717,265
12976,85.76923077,260
12977,36.56588705,1753
12978,60.29776675,403
12979,103.6024306,2304
12980,80.44478528,1304
12981,105.9032401,2253
12983,96.59727782,7494
12985,90.1119403,1072
12986,92.30392157,6120
12987,120.39801,201
12989,104.6534653,1010
12992,74.21515278,4778
12993,90.14171288,1623
12996,94.48705657,2086
12997,84.18079096,1239
12998,52.85171103,526
13020,50,150
13021,90.01670632,39506
13024,29.77495672,1733
13026,82.18390805,1914
13027,104.0522173,31637
13028,68.59259259,1350
13029,102.0537347,7109
13030,87.10174717,3892
13031,96.28319722,15551
13032,95.67630962,12790
13033,106.5804274,3556
13034,94.2182001,1989
13035,97.38888244,8617
13036,109.5967742,8680
13037,106.2942565,8897
13039,93.45384045,17537
13040,84.84408992,2758
13041,104.5305932,10705
13042,101.0611205,2356
13044,109.156051,2512
13045,91.35892667,30112
13051,88.23529412,153
13052,96.42644431,1679
13053,90.88733799,5015
13054,94.81668774,1582
13057,84.50506937,14992
13060,106.2366358,2806
13061,77.78846154,1040
13062,21.38728324,173
13063,92.14963119,1898
13064,309.375,64
13066,94.60855529,12390
13068,94.52309985,5368
13069,94.13180378,24931
13071,89.14956012,1023
13072,77.64915405,1123
13073,99.73532617,6423
13074,93.64973262,4488
13076,83.99498537,2393
13077,93.86785449,6735
13078,91.01966349,9866
13080,87.33131369,3631
13081,102.7373824,1169
13082,85.62923424,4871
13083,111.4980652,1809
13084,85.34815151,4409
13087,144.6428571,168
13088,88.21538184,22156
13090,85.64267694,30124
13092,92.13353799,2606
13101,95.25518341,2508
13102,87.05882353,85
13103,68.40490798,326
13104,92.00873643,15567
13108,98.3805668,6175
13110,93.45594525,2338
13111,104.0588235,1700
13112,85.30157121,1973
13113,89.54703833,287
13114,102.6431718,6356
13115,105.8035714,224
13116,85.27625108,3457
13117,152.6595745,188
13118,85.72547791,6382
13120,69.24398625,2328
13122,99.82964225,1174
13123,154.4585987,314
13124,79.83870968,124
13126,89.80513372,37205
13131,82.77278562,3895
13132,82.39868049,4244
13134,157.1428571,119
13135,88.98292277,6617
13136,67.41573034,534
13138,198.3606557,61
13140,100.1559715,4488
13141,85.5704698,596
13142,99.11641606,6451
13143,76.95788375,2873
13144,102.6779882,1531
13145,73.00103842,1926
13146,97.05280393,2443
13147,77.28337237,1281
13148,93.61860465,10750
13152,97.75846871,7941
13153,117.5438596,399
13155,72.09653092,663
13156,87.15,2000
13157,66.76258993,695
13158,92.18328841,1855
13159,100.0771605,5184
13160,109.6694623,2027
13162,64.41558442,385
13163,123.5988201,339
13164,111.5055603,2338
13165,89.74024765,10741
13166,95.88235294,5610
13167,82.01675643,3342
13202,50.03677823,5438
13203,66.48574459,16029
13204,60.9703477,19931
13205,36.61267642,19201
13206,80.04013866,16443
13207,49.47110887,13897
13208,56.16959832,22854
13209,86.97425055,13243
13210,65.65239441,27606
13211,88.13871413,6517
13212,99.76419729,20356
13214,74.86637098,8793
13215,88.19285011,15245
13219,90.81559591,15363
13224,55.69677202,8891
13290,,0
13301,202.0408163,98
13302,90.74534161,1610
13303,124.2844753,1153
13304,100.1187648,1684
13305,69.62457338,293
13308,106.1517241,3625
13309,94.76991,5889
13310,132.6923077,624
13312,100.3021148,331
13313,84.98098859,526
13314,52.37020316,443
13315,101.6208598,1419
13316,93.91640867,6460
13317,98.41437632,3784
13318,97.96226415,1325
13319,70.52826691,1079
13320,104.7571853,2018
13321,58.43660629,1049
13322,81.50557621,1076
13323,96.93544114,11323
13324,101.6751978,2149
13325,110.2771363,866
13326,86.99874123,5561
13327,85.70038911,2056
13328,122.7308603,1267
13329,104.6541527,3889
13331,32.27513228,189
13332,111.504065,2460
13333,56.4516129,62
13334,78.74818049,1374
13335,84.59119497,1590
13337,77.46835443,790
13338,102.6533997,1206
13339,88.38784037,6941
13340,94.55210238,8205
13341,163.7254902,102
13342,138.7878788,165
13343,94.81302774,1658
13345,76.83615819,177
13346,82.2420193,6735
13348,93.19264806,1469
13350,92.09353017,10093
13352,15.38461538,65
13353,18.60465116,86
13354,112.7767804,3342
13355,159.1160221,905
13357,92.59192502,11096
13360,40.24024024,333
13361,102.6699029,824
13362,215,60
13363,98.31533477,2315
13364,91.35802469,243
13365,94.02649899,8906
13367,97.41789354,8830
13368,105.1878354,1118
13402,92.89439374,1534
13403,88.4156267,7372
13404,55.08474576,236
13406,118.7586207,725
13407,85.25582248,5453
13408,72.87383178,4280
13409,91.74389217,2374
13410,144.3983402,241
13411,93.96446078,3264
13413,90.93895259,16135
13415,29.87012987,77
13416,91.23734038,2271
13417,89.83358548,3305
13418,99.60784314,255
13420,81.67456556,1266
13421,90.69734513,14125
13424,76.69724771,2725
13425,104.7715736,1970
